CO2,pressure,temperature,humidity,date_time
829,1018.15,24.65,49.92,2022-08-07T14:48:18Z
829,1018.16,24.73,49.9,2022-08-07T14:48:24Z
828,1018.13,24.81,49.68,2022-08-07T14:48:29Z
828,1018.13,24.89,49.62,2022-08-07T14:48:34Z
828,1018.16,24.98,49.47,2022-08-07T14:48:39Z
828,1018.13,25.06,49.18,2022-08-07T14:48:44Z
828,1018.13,25.15,49.09,2022-08-07T14:48:49Z
827,1018.14,25.22,48.82,2022-08-07T14:48:54Z
827,1018.09,25.48,48.3,2022-08-07T14:49:04Z
826,1018.13,25.56,48.07,2022-08-07T14:49:09Z
826,1018.15,25.64,47.88,2022-08-07T14:49:14Z
825,1018.13,25.73,48.03,2022-08-07T14:49:19Z
825,1018.12,25.81,47.7,2022-08-07T14:49:24Z
824,1018.15,25.89,47.41,2022-08-07T14:49:29Z
825,1018.14,25.95,47.32,2022-08-07T14:49:34Z
824,1018.14,26.02,47.23,2022-08-07T14:49:39Z
824,1018.15,26.09,47.09,2022-08-07T14:49:44Z
824,1018.15,26.17,47.04,2022-08-07T14:49:49Z
824,1018.18,26.24,46.81,2022-08-07T14:49:54Z
824,1018.17,26.32,46.75,2022-08-07T14:49:59Z
823,1018.15,26.4,46.55,2022-08-07T14:50:04Z
823,1018.15,26.47,46.26,2022-08-07T14:50:09Z
823,1018.14,26.55,46.21,2022-08-07T14:50:14Z
823,1018.15,26.63,46.07,2022-08-07T14:50:19Z
823,1018.14,26.71,45.96,2022-08-07T14:50:24Z
823,1018.16,26.78,45.72,2022-08-07T14:50:29Z
822,1018.14,26.85,45.47,2022-08-07T14:50:34Z
821,1018.14,26.91,45.24,2022-08-07T14:50:39Z
821,1018.17,26.97,45.25,2022-08-07T14:50:44Z
821,1018.14,27.03,45.1,2022-08-07T14:50:49Z
820,1018.16,27.1,45.01,2022-08-07T14:50:55Z
820,1018.12,27.16,44.93,2022-08-07T14:51:00Z
819,1018.15,27.23,44.81,2022-08-07T14:51:05Z
819,1018.11,27.29,44.57,2022-08-07T14:51:10Z
819,1018.11,27.34,44.39,2022-08-07T14:51:15Z
819,1018.06,27.4,44.41,2022-08-07T14:51:20Z
818,1018.07,27.46,44.36,2022-08-07T14:51:25Z
817,1018.09,27.51,44.11,2022-08-07T14:51:30Z
817,1018.07,27.56,44.04,2022-08-07T14:51:35Z
817,1018.06,27.62,44.01,2022-08-07T14:51:40Z
817,1018.04,27.67,43.93,2022-08-07T14:51:45Z
818,1018.06,27.72,43.71,2022-08-07T14:51:50Z
817,1018.03,27.77,43.58,2022-08-07T14:51:55Z
817,1018.03,27.83,43.47,2022-08-07T14:52:00Z
817,1018.06,27.88,43.47,2022-08-07T14:52:05Z
816,1018.06,27.91,43.42,2022-08-07T14:52:10Z
816,1018.01,27.96,43.28,2022-08-07T14:52:15Z
814,1018.05,28.01,43.25,2022-08-07T14:52:20Z
814,1018.04,28.06,43.01,2022-08-07T14:52:25Z
814,1018.04,28.11,42.92,2022-08-07T14:52:30Z
813,1018.02,28.15,42.84,2022-08-07T14:52:35Z
814,1018.03,28.2,42.75,2022-08-07T14:52:40Z
815,1018.02,28.24,42.65,2022-08-07T14:52:45Z
814,1018.06,28.28,42.67,2022-08-07T14:52:50Z
813,1018.04,28.29,42.59,2022-08-07T14:52:55Z
814,1018.06,28.31,42.53,2022-08-07T14:53:00Z
813,1018.03,28.34,42.5,2022-08-07T14:53:05Z
812,1018.06,28.38,42.36,2022-08-07T14:53:10Z
812,1018.01,28.42,42.4,2022-08-07T14:53:15Z
811,1018.03,28.46,42.39,2022-08-07T14:53:20Z
811,1018.01,28.5,42.31,2022-08-07T14:53:26Z
811,1018.05,28.55,42.28,2022-08-07T14:53:31Z
811,1018.04,28.6,42.15,2022-08-07T14:53:36Z
811,1018.07,28.64,41.95,2022-08-07T14:53:41Z
811,1018.09,28.67,41.98,2022-08-07T14:53:46Z
811,1018.1,28.71,41.71,2022-08-07T14:53:51Z
810,1018.09,28.73,41.45,2022-08-07T14:53:56Z
811,1018.05,28.77,41.44,2022-08-07T14:54:01Z
811,1018.05,28.81,41.5,2022-08-07T14:54:06Z
811,1018.04,28.84,41.49,2022-08-07T14:54:11Z
811,1018.09,28.88,41.39,2022-08-07T14:54:16Z
811,1018.11,28.9,41.41,2022-08-07T14:54:21Z
811,1018.08,28.94,41.45,2022-08-07T14:54:26Z
811,1018.06,28.97,41.41,2022-08-07T14:54:31Z
811,1018.08,28.99,41.25,2022-08-07T14:54:36Z
810,1018.07,29.02,41.26,2022-08-07T14:54:41Z
811,1018.04,29.03,41.14,2022-08-07T14:54:46Z
811,1018.07,29.05,41.51,2022-08-07T14:54:51Z
811,1018.04,29.07,41.29,2022-08-07T14:54:56Z
812,1018,29.09,41.12,2022-08-07T14:55:01Z
811,1018.02,29.11,41.05,2022-08-07T14:55:06Z
811,1018.04,29.13,41.02,2022-08-07T14:55:11Z
812,1017.99,29.15,40.94,2022-08-07T14:55:16Z
813,1017.98,29.19,40.89,2022-08-07T14:55:21Z
813,1018.02,29.22,40.8,2022-08-07T14:55:26Z
813,1017.99,29.25,40.78,2022-08-07T14:55:31Z
813,1018.02,29.26,40.87,2022-08-07T14:55:36Z
813,1017.98,29.28,40.7,2022-08-07T14:55:41Z
811,1018.02,29.31,40.6,2022-08-07T14:55:46Z
811,1018.03,29.34,40.58,2022-08-07T14:55:51Z
811,1018.02,29.35,40.44,2022-08-07T14:55:57Z
811,1018.05,29.39,40.44,2022-08-07T14:56:02Z
811,1018.05,29.39,40.38,2022-08-07T14:56:07Z
811,1018.01,29.39,40.24,2022-08-07T14:56:12Z
811,1018.01,29.41,40.39,2022-08-07T14:56:17Z
811,1018.04,29.42,40.47,2022-08-07T14:56:22Z
812,1018.04,29.43,40.42,2022-08-07T14:56:27Z
811,1018.03,29.45,40.45,2022-08-07T14:56:32Z
812,1017.99,29.46,40.21,2022-08-07T14:56:37Z
811,1018.04,29.42,40.25,2022-08-07T14:56:42Z
811,1018.04,29.43,40.29,2022-08-07T14:56:47Z
811,1018.01,29.42,40.3,2022-08-07T14:56:52Z
811,1018,29.37,40.7,2022-08-07T14:56:57Z
811,1018.04,29.36,40.58,2022-08-07T14:57:02Z
