CO2,pressure,temperature,humidity,date_time
992,1009.55,26.67,49.93,2022-08-09T02:24:43Z
990,1009.54,26.73,50.3,2022-08-09T02:24:48Z
988,1009.47,26.8,49.78,2022-08-09T02:24:53Z
987,1009.5,26.87,49.6,2022-08-09T02:24:58Z
986,1009.49,26.96,49.35,2022-08-09T02:25:03Z
985,1009.51,27.04,49.09,2022-08-09T02:25:08Z
983,1009.52,27.11,49.2,2022-08-09T02:25:13Z
982,1009.42,27.18,48.88,2022-08-09T02:25:18Z
980,1009.49,27.26,48.61,2022-08-09T02:25:23Z
976,1009.52,27.31,48.45,2022-08-09T02:25:28Z
972,1009.54,27.38,48.39,2022-08-09T02:25:33Z
972,1009.52,27.44,48.09,2022-08-09T02:25:38Z
972,1009.51,27.5,47.9,2022-08-09T02:25:43Z
970,1009.51,27.57,47.91,2022-08-09T02:25:48Z
969,1009.48,27.63,47.87,2022-08-09T02:25:53Z
967,1009.51,27.71,47.56,2022-08-09T02:25:59Z
964,1009.52,27.78,47.47,2022-08-09T02:26:04Z
964,1009.49,27.85,47.3,2022-08-09T02:26:09Z
964,1009.54,27.93,47.38,2022-08-09T02:26:14Z
963,1009.53,28,47.19,2022-08-09T02:26:19Z
963,1009.54,28.07,47.08,2022-08-09T02:26:24Z
962,1009.52,28.13,46.76,2022-08-09T02:26:29Z
962,1009.49,28.19,46.71,2022-08-09T02:26:34Z
962,1009.5,28.25,46.55,2022-08-09T02:26:39Z
961,1009.5,28.33,46.43,2022-08-09T02:26:44Z
960,1009.5,28.39,46.38,2022-08-09T02:26:49Z
959,1009.48,28.45,46,2022-08-09T02:26:54Z
959,1009.48,28.51,45.94,2022-08-09T02:26:59Z
1179,1009.51,28.58,50.95,2022-08-09T02:27:09Z
1337,1009.51,28.65,48.24,2022-08-09T02:27:14Z
1409,1009.52,28.72,46.64,2022-08-09T02:27:19Z
1432,1009.54,28.78,46.11,2022-08-09T02:27:24Z
1434,1009.49,28.83,45.77,2022-08-09T02:27:29Z
1424,1009.49,28.89,45.63,2022-08-09T02:27:34Z
1405,1009.49,28.94,45.41,2022-08-09T02:27:39Z
1369,1009.48,28.99,45.22,2022-08-09T02:27:44Z
1347,1009.51,29.04,45.06,2022-08-09T02:27:49Z
1317,1009.48,29.07,44.69,2022-08-09T02:27:54Z
1290,1009.52,29.13,44.73,2022-08-09T02:27:59Z
1257,1009.49,29.17,44.69,2022-08-09T02:28:04Z
1221,1009.49,29.22,44.58,2022-08-09T02:28:10Z
1196,1009.52,29.27,44.52,2022-08-09T02:28:15Z
1173,1009.56,29.29,44.18,2022-08-09T02:28:20Z
1143,1009.54,29.32,44.31,2022-08-09T02:28:25Z
1120,1009.54,29.37,44.28,2022-08-09T02:28:30Z
1102,1009.5,29.4,44.03,2022-08-09T02:28:35Z
1090,1009.52,29.43,44.07,2022-08-09T02:28:40Z
1080,1009.51,29.49,44.03,2022-08-09T02:28:45Z
1064,1009.51,29.53,43.94,2022-08-09T02:28:50Z
1041,1009.53,29.56,43.77,2022-08-09T02:28:55Z
1032,1009.54,29.56,43.58,2022-08-09T02:29:00Z
1029,1009.54,29.6,43.63,2022-08-09T02:29:05Z
1020,1009.52,29.62,43.64,2022-08-09T02:29:10Z
1013,1009.53,29.62,43.6,2022-08-09T02:29:15Z
1012,1009.52,29.67,43.7,2022-08-09T02:29:20Z
1008,1009.52,29.7,43.46,2022-08-09T02:29:25Z
1003,1009.56,29.69,43.35,2022-08-09T02:29:30Z
999,1009.51,29.7,43.34,2022-08-09T02:29:35Z
998,1009.52,29.73,43.22,2022-08-09T02:29:40Z
994,1009.5,29.75,43.18,2022-08-09T02:29:45Z
992,1009.52,29.77,43.25,2022-08-09T02:29:50Z
989,1009.51,29.8,43.06,2022-08-09T02:29:55Z
986,1009.52,29.84,43.24,2022-08-09T02:30:00Z
985,1009.52,29.86,43.24,2022-08-09T02:30:05Z
981,1009.47,29.88,43.04,2022-08-09T02:30:10Z
982,1009.49,29.93,43.03,2022-08-09T02:30:16Z
976,1009.5,29.98,43.08,2022-08-09T02:30:21Z
