CO2,pressure,temperature,humidity,date_time
1035,1008.83,27.44,45.15,2022-08-09T19:44:44Z
1034,1008.79,27.5,45.02,2022-08-09T19:44:49Z
1031,1008.76,27.55,44.96,2022-08-09T19:44:54Z
1028,1008.79,27.61,44.82,2022-08-09T19:44:59Z
1026,1008.77,27.65,44.55,2022-08-09T19:45:04Z
1023,1008.8,27.7,44.56,2022-08-09T19:45:09Z
1019,1008.78,27.75,44.36,2022-08-09T19:45:14Z
1017,1008.74,27.81,44.4,2022-08-09T19:45:19Z
1015,1008.77,27.86,44.29,2022-08-09T19:45:24Z
1014,1008.78,27.91,44.11,2022-08-09T19:45:29Z
1014,1008.79,27.95,43.85,2022-08-09T19:45:34Z
1013,1008.76,27.99,43.86,2022-08-09T19:45:39Z
1013,1008.76,28.04,43.89,2022-08-09T19:45:44Z
1013,1008.79,28.1,43.73,2022-08-09T19:45:49Z
1012,1008.77,28.14,43.84,2022-08-09T19:45:54Z
1013,1008.79,28.2,43.71,2022-08-09T19:45:59Z
1012,1008.81,28.25,43.57,2022-08-09T19:46:04Z
1012,1008.79,28.31,43.64,2022-08-09T19:46:09Z
1011,1008.78,28.37,43.43,2022-08-09T19:46:14Z
1011,1008.75,28.42,43.24,2022-08-09T19:46:19Z
1011,1008.77,28.47,43.09,2022-08-09T19:46:24Z
1011,1008.77,28.52,43.05,2022-08-09T19:46:30Z
1010,1008.76,28.57,42.95,2022-08-09T19:46:35Z
1009,1008.76,28.61,42.64,2022-08-09T19:46:40Z
1009,1008.78,28.67,42.78,2022-08-09T19:46:45Z
1009,1008.77,28.72,42.8,2022-08-09T19:46:50Z
1010,1008.79,28.77,42.68,2022-08-09T19:46:55Z
1010,1008.8,28.81,42.42,2022-08-09T19:47:00Z
1011,1008.8,28.85,42.34,2022-08-09T19:47:05Z
1010,1008.76,28.9,42.15,2022-08-09T19:47:10Z
1009,1008.76,28.94,42.2,2022-08-09T19:47:15Z
1009,1008.74,28.96,42.09,2022-08-09T19:47:20Z
1009,1008.75,29,42.03,2022-08-09T19:47:25Z
1009,1008.75,29.04,41.92,2022-08-09T19:47:30Z
1009,1008.78,29.09,41.95,2022-08-09T19:47:35Z
1008,1008.73,29.13,41.85,2022-08-09T19:47:40Z
1009,1008.77,29.18,41.58,2022-08-09T19:47:45Z
1008,1008.76,29.23,41.57,2022-08-09T19:47:50Z
1009,1008.77,29.27,41.52,2022-08-09T19:47:55Z
1008,1008.74,29.32,41.45,2022-08-09T19:48:00Z
1008,1008.73,29.34,41.58,2022-08-09T19:48:05Z
1008,1008.74,29.37,41.46,2022-08-09T19:48:10Z
1007,1008.76,29.4,41.39,2022-08-09T19:48:15Z
1008,1008.77,29.42,41.3,2022-08-09T19:48:20Z
1006,1008.76,29.44,41.28,2022-08-09T19:48:25Z
1006,1008.71,29.45,41.27,2022-08-09T19:48:30Z
1007,1008.71,29.47,41.25,2022-08-09T19:48:35Z
1007,1008.73,29.49,41.1,2022-08-09T19:48:40Z
1006,1008.7,29.5,41.29,2022-08-09T19:48:45Z
1006,1008.74,29.52,41.01,2022-08-09T19:48:50Z
1005,1008.73,29.54,41.05,2022-08-09T19:48:56Z
1006,1008.75,29.58,41.08,2022-08-09T19:49:01Z
1005,1008.75,29.61,41.09,2022-08-09T19:49:06Z
1005,1008.76,29.64,41.31,2022-08-09T19:49:11Z
1006,1008.71,29.67,41.14,2022-08-09T19:49:16Z
1008,1008.72,29.7,40.98,2022-08-09T19:49:21Z
1012,1008.72,29.74,40.98,2022-08-09T19:49:26Z
1012,1008.73,29.75,40.86,2022-08-09T19:49:31Z
1016,1008.71,29.77,40.8,2022-08-09T19:49:36Z
1020,1008.75,29.79,40.69,2022-08-09T19:49:41Z
1020,1008.73,29.81,40.62,2022-08-09T19:49:46Z
1020,1008.69,29.84,40.5,2022-08-09T19:49:51Z
1020,1008.71,29.85,40.54,2022-08-09T19:49:56Z
1022,1008.71,29.88,40.33,2022-08-09T19:50:01Z
1022,1008.71,29.9,40.42,2022-08-09T19:50:06Z
1023,1008.71,29.93,40.5,2022-08-09T19:50:11Z
1025,1008.73,29.94,40.21,2022-08-09T19:50:16Z
1026,1008.73,29.97,40.24,2022-08-09T19:50:21Z
1027,1008.71,30,40.13,2022-08-09T19:50:26Z
1030,1008.69,30,40.12,2022-08-09T19:50:31Z
1032,1008.68,30.02,40,2022-08-09T19:50:36Z
1033,1008.69,30.04,40.03,2022-08-09T19:50:41Z
1033,1008.71,30.06,39.96,2022-08-09T19:50:46Z
1033,1008.67,30.07,39.99,2022-08-09T19:50:51Z
1034,1008.68,30.08,40.09,2022-08-09T19:50:56Z
1034,1008.7,30.08,40.25,2022-08-09T19:51:01Z
1037,1008.73,30.09,40.1,2022-08-09T19:51:06Z
1038,1008.73,30.09,40.04,2022-08-09T19:51:11Z
1041,1008.71,30.1,39.91,2022-08-09T19:51:16Z
1041,1008.72,30.11,39.93,2022-08-09T19:51:22Z
1041,1008.72,30.12,39.96,2022-08-09T19:51:27Z
1041,1008.72,30.14,39.9,2022-08-09T19:51:32Z
1040,1008.74,30.15,40.34,2022-08-09T19:51:37Z
1040,1008.73,30.16,40.06,2022-08-09T19:51:42Z
