CO2,pressure,temperature,humidity,date_time
498,1013.65,24.68,50.46,2022-08-14T20:20:41Z
498,1013.66,24.68,50.42,2022-08-14T20:20:46Z
496,1013.65,24.7,50.33,2022-08-14T20:20:51Z
492,1013.62,24.76,50.4,2022-08-14T20:20:56Z
492,1013.62,24.79,50.31,2022-08-14T20:21:01Z
485,1013.63,24.8,50.15,2022-08-14T20:21:06Z
485,1013.63,24.82,50.08,2022-08-14T20:21:11Z
485,1013.64,24.82,49.99,2022-08-14T20:21:16Z
478,1013.63,24.85,49.94,2022-08-14T20:21:21Z
474,1013.67,24.85,49.94,2022-08-14T20:21:26Z
474,1013.62,24.86,50.04,2022-08-14T20:21:31Z
472,1013.65,24.88,49.92,2022-08-14T20:21:36Z
472,1013.64,24.89,49.83,2022-08-14T20:21:41Z
471,1013.66,24.89,49.77,2022-08-14T20:21:46Z
471,1013.64,24.9,49.71,2022-08-14T20:21:51Z
469,1013.62,24.89,49.69,2022-08-14T20:21:56Z
466,1013.61,24.92,49.67,2022-08-14T20:22:01Z
467,1013.65,24.96,49.59,2022-08-14T20:22:06Z
465,1013.63,24.99,49.5,2022-08-14T20:22:12Z
465,1013.63,25,49.45,2022-08-14T20:22:17Z
465,1013.63,25.01,49.4,2022-08-14T20:22:22Z
464,1013.62,25,49.38,2022-08-14T20:22:27Z
464,1013.61,25.01,49.35,2022-08-14T20:22:32Z
464,1013.65,25.05,49.29,2022-08-14T20:22:37Z
463,1013.65,25.07,49.32,2022-08-14T20:22:42Z
463,1013.58,25.13,49.29,2022-08-14T20:22:47Z
465,1013.58,25.15,49.11,2022-08-14T20:22:52Z
464,1013.57,25.15,49.06,2022-08-14T20:22:57Z
463,1013.59,25.14,49.03,2022-08-14T20:23:02Z
463,1013.58,25.15,49,2022-08-14T20:23:07Z
464,1013.59,25.17,48.98,2022-08-14T20:23:12Z
464,1013.56,25.36,48.61,2022-08-14T20:23:22Z
464,1013.6,25.36,48.48,2022-08-14T20:23:27Z
464,1013.6,25.35,48.47,2022-08-14T20:23:32Z
464,1013.59,25.36,48.44,2022-08-14T20:23:37Z
463,1013.58,25.36,48.4,2022-08-14T20:23:42Z
463,1013.6,25.36,48.38,2022-08-14T20:23:47Z
463,1013.6,25.35,48.42,2022-08-14T20:23:52Z
463,1013.59,25.33,48.4,2022-08-14T20:23:57Z
463,1013.61,25.32,48.4,2022-08-14T20:24:02Z
462,1013.59,25.32,48.4,2022-08-14T20:24:07Z
458,1013.56,25.32,48.4,2022-08-14T20:24:12Z
458,1013.61,25.32,48.38,2022-08-14T20:24:17Z
