CO2,pressure,temperature,humidity,date_time
465,1013.62,25.41,45.62,2022-08-14T20:57:00Z
468,1013.61,25.37,45.67,2022-08-14T20:57:05Z
467,1013.62,25.37,45.75,2022-08-14T20:57:10Z
467,1013.63,25.35,45.85,2022-08-14T20:57:15Z
467,1013.65,25.35,45.95,2022-08-14T20:57:20Z
468,1013.64,25.33,46.09,2022-08-14T20:57:25Z
468,1013.65,25.33,46.2,2022-08-14T20:57:30Z
468,1013.64,25.33,46,2022-08-14T20:57:35Z
469,1013.59,25.28,46.22,2022-08-14T20:57:40Z
469,1013.58,25.11,46.1,2022-08-14T20:57:45Z
469,1013.63,25.03,46.18,2022-08-14T20:57:50Z
469,1013.62,24.93,46.39,2022-08-14T20:57:55Z
469,1013.61,24.88,46.69,2022-08-14T20:58:00Z
469,1013.6,24.88,46.9,2022-08-14T20:58:05Z
470,1013.62,24.88,46.96,2022-08-14T20:58:10Z
472,1013.61,24.92,47.01,2022-08-14T20:58:15Z
473,1013.62,24.97,47.03,2022-08-14T20:58:20Z
473,1013.62,25.01,46.91,2022-08-14T20:58:25Z
473,1013.62,25.04,47.12,2022-08-14T20:58:31Z
473,1013.57,25.07,46.97,2022-08-14T20:58:36Z
474,1013.59,25.07,46.88,2022-08-14T20:58:41Z
474,1013.55,25.11,46.79,2022-08-14T20:58:46Z
474,1013.57,25.12,47.05,2022-08-14T20:58:51Z
474,1013.57,25.15,46.97,2022-08-14T20:58:56Z
476,1013.59,25.18,46.96,2022-08-14T20:59:01Z
476,1013.58,25.21,46.84,2022-08-14T20:59:06Z
477,1013.56,25.25,46.73,2022-08-14T20:59:11Z
478,1013.55,25.28,46.77,2022-08-14T20:59:16Z
479,1013.58,25.31,46.78,2022-08-14T20:59:21Z
478,1013.58,25.36,46.88,2022-08-14T20:59:26Z
478,1013.58,25.4,47.04,2022-08-14T20:59:31Z
478,1013.59,25.43,46.86,2022-08-14T20:59:36Z
480,1013.6,25.47,46.6,2022-08-14T20:59:41Z
481,1013.6,25.52,46.44,2022-08-14T20:59:46Z
482,1013.6,25.55,46.33,2022-08-14T20:59:51Z
482,1013.62,25.58,46.16,2022-08-14T20:59:56Z
483,1013.56,25.58,46.1,2022-08-14T21:00:01Z
482,1013.57,25.6,46.02,2022-08-14T21:00:06Z
483,1013.58,25.6,45.92,2022-08-14T21:00:11Z
483,1013.6,25.61,45.77,2022-08-14T21:00:16Z
484,1013.61,25.47,45.7,2022-08-14T21:00:21Z
483,1013.55,25.37,45.91,2022-08-14T21:00:26Z
483,1013.57,25.31,46.07,2022-08-14T21:00:31Z
484,1013.57,25.33,46.08,2022-08-14T21:00:36Z
484,1013.59,25.22,46.21,2022-08-14T21:00:41Z
486,1013.58,25.24,46.12,2022-08-14T21:00:46Z
486,1013.58,25.21,46.13,2022-08-14T21:00:51Z
487,1013.61,25.06,46.41,2022-08-14T21:00:56Z
487,1013.62,24.95,46.57,2022-08-14T21:01:02Z
487,1013.63,24.88,46.71,2022-08-14T21:01:07Z
488,1013.59,24.82,46.75,2022-08-14T21:01:12Z
489,1013.59,24.74,46.87,2022-08-14T21:01:17Z
490,1013.61,24.74,46.93,2022-08-14T21:01:22Z
490,1013.59,24.67,47.23,2022-08-14T21:01:27Z
491,1013.63,24.58,47.32,2022-08-14T21:01:32Z
493,1013.62,24.6,47.38,2022-08-14T21:01:37Z
492,1013.62,24.62,47.31,2022-08-14T21:01:42Z
492,1013.62,24.54,47.27,2022-08-14T21:01:47Z
493,1013.62,24.56,47.33,2022-08-14T21:01:52Z
494,1013.62,24.57,47.57,2022-08-14T21:01:57Z
495,1013.64,24.56,47.82,2022-08-14T21:02:02Z
495,1013.65,24.53,47.6,2022-08-14T21:02:07Z
496,1013.67,24.46,47.64,2022-08-14T21:02:12Z
496,1013.68,24.47,47.66,2022-08-14T21:02:17Z
496,1013.64,24.5,47.61,2022-08-14T21:02:22Z
497,1013.66,24.57,47.59,2022-08-14T21:02:27Z
497,1013.64,24.64,48.2,2022-08-14T21:02:32Z
498,1013.64,24.7,48.38,2022-08-14T21:02:37Z
498,1013.64,24.74,47.75,2022-08-14T21:02:42Z
498,1013.61,24.79,47.51,2022-08-14T21:02:47Z
499,1013.63,24.69,47.41,2022-08-14T21:02:52Z
499,1013.6,24.69,47.32,2022-08-14T21:02:57Z
500,1013.61,24.68,47.21,2022-08-14T21:03:02Z
502,1013.6,24.7,47.32,2022-08-14T21:03:07Z
503,1013.62,24.65,47.52,2022-08-14T21:03:12Z
505,1013.61,24.69,47.56,2022-08-14T21:03:17Z
505,1013.65,24.7,47.51,2022-08-14T21:03:22Z
507,1013.62,24.71,47.5,2022-08-14T21:03:28Z
507,1013.63,24.71,47.69,2022-08-14T21:03:33Z
506,1013.61,24.77,47.98,2022-08-14T21:03:38Z
506,1013.61,24.83,48.02,2022-08-14T21:03:43Z
507,1013.61,24.86,47.88,2022-08-14T21:03:48Z
508,1013.63,24.85,47.37,2022-08-14T21:03:53Z
509,1013.61,24.91,47.13,2022-08-14T21:03:58Z
510,1013.63,24.91,46.96,2022-08-14T21:04:03Z
511,1013.62,24.95,47.06,2022-08-14T21:04:08Z
513,1013.63,24.98,46.94,2022-08-14T21:04:13Z
514,1013.62,24.98,47.01,2022-08-14T21:04:18Z
515,1013.61,25.15,46.72,2022-08-14T21:04:28Z
515,1013.61,25.22,46.75,2022-08-14T21:04:33Z
517,1013.61,25.27,46.82,2022-08-14T21:04:38Z
518,1013.61,25.3,47.01,2022-08-14T21:04:43Z
519,1013.63,25.36,47.07,2022-08-14T21:04:48Z
519,1013.62,25.41,46.9,2022-08-14T21:04:53Z
520,1013.62,25.45,46.84,2022-08-14T21:04:58Z
520,1013.62,25.49,46.73,2022-08-14T21:05:03Z
577,1013.68,26.16,44.65,2022-08-14T21:18:53Z
577,1013.7,26.19,44.63,2022-08-14T21:18:58Z
577,1013.65,26.2,44.6,2022-08-14T21:19:03Z
577,1013.67,26.22,44.52,2022-08-14T21:19:08Z
576,1013.68,26.24,44.41,2022-08-14T21:19:13Z
576,1013.66,26.24,44.36,2022-08-14T21:19:18Z
576,1013.67,26.25,44.32,2022-08-14T21:19:23Z
576,1013.7,26.27,44.3,2022-08-14T21:19:28Z
577,1013.71,26.26,44.27,2022-08-14T21:19:33Z
577,1013.66,26.24,44.27,2022-08-14T21:19:38Z
577,1013.69,26.23,44.26,2022-08-14T21:19:43Z
577,1013.68,26.24,44.26,2022-08-14T21:19:48Z
577,1013.69,26.27,44.24,2022-08-14T21:19:54Z
577,1013.7,26.26,44.5,2022-08-14T21:19:59Z
577,1013.67,26.25,44.36,2022-08-14T21:20:04Z
578,1013.7,26.26,44.41,2022-08-14T21:20:09Z
578,1013.66,26.23,44.42,2022-08-14T21:20:14Z
577,1013.64,26.19,44.46,2022-08-14T21:20:19Z
577,1013.67,26.17,44.56,2022-08-14T21:20:24Z
577,1013.68,26.15,44.73,2022-08-14T21:20:29Z
578,1013.66,26.1,44.82,2022-08-14T21:20:34Z
578,1013.68,26.08,44.82,2022-08-14T21:20:39Z
579,1013.67,26.07,44.85,2022-08-14T21:20:44Z
578,1013.71,26.08,44.84,2022-08-14T21:20:49Z
578,1013.65,26.03,44.9,2022-08-14T21:20:54Z
579,1013.66,25.97,44.94,2022-08-14T21:20:59Z
580,1013.65,25.9,44.97,2022-08-14T21:21:04Z
580,1013.66,25.9,45,2022-08-14T21:21:09Z
580,1013.66,25.91,45.05,2022-08-14T21:21:14Z
580,1013.66,25.91,45.13,2022-08-14T21:21:19Z
581,1013.68,25.94,45.19,2022-08-14T21:21:24Z
581,1013.66,25.96,45.16,2022-08-14T21:21:29Z
583,1013.66,25.99,45.06,2022-08-14T21:21:34Z
584,1013.67,26.03,44.95,2022-08-14T21:21:39Z
585,1013.7,26.07,44.84,2022-08-14T21:21:44Z
586,1013.71,26.05,44.93,2022-08-14T21:21:49Z
586,1013.69,26.08,45.12,2022-08-14T21:21:54Z
585,1013.7,26.08,45.23,2022-08-14T21:21:59Z
585,1013.68,26.12,45.24,2022-08-14T21:22:04Z
585,1013.71,26.09,44.96,2022-08-14T21:22:09Z
586,1013.71,26.11,44.85,2022-08-14T21:22:14Z
586,1013.7,26.16,44.74,2022-08-14T21:24:28Z
594,1013.73,26.07,45.15,2022-08-14T21:24:33Z
595,1013.71,26.08,44.88,2022-08-14T21:24:38Z
594,1013.69,26.1,44.84,2022-08-14T21:24:43Z
595,1013.67,26.1,44.86,2022-08-14T21:24:48Z
595,1013.68,26.13,44.81,2022-08-14T21:24:53Z
594,1013.7,26.13,44.8,2022-08-14T21:24:58Z
595,1013.71,26.07,44.84,2022-08-14T21:25:03Z
595,1013.68,26.1,44.85,2022-08-14T21:25:09Z
595,1013.71,26.12,44.93,2022-08-14T21:25:14Z
594,1013.7,26.11,45.04,2022-08-14T21:25:19Z
595,1013.69,26.13,44.89,2022-08-14T21:25:24Z
595,1013.7,26.01,45,2022-08-14T21:25:29Z
596,1013.7,25.89,45.21,2022-08-14T21:25:34Z
596,1013.7,25.72,45.66,2022-08-14T21:25:39Z
596,1013.68,25.57,46.09,2022-08-14T21:25:44Z
596,1013.71,25.46,46.18,2022-08-14T21:25:49Z
597,1013.68,25.33,46.3,2022-08-14T21:25:54Z
596,1013.65,25.27,46.28,2022-08-14T21:25:59Z
597,1013.71,25.22,46.37,2022-08-14T21:26:04Z
598,1013.68,25.25,46.32,2022-08-14T21:26:09Z
599,1013.66,25.24,46.32,2022-08-14T21:26:14Z
599,1013.68,25.28,46.28,2022-08-14T21:26:19Z
601,1013.7,25.27,46.28,2022-08-14T21:26:24Z
600,1013.72,25.26,46.3,2022-08-14T21:26:29Z
601,1013.71,25.25,46.25,2022-08-14T21:26:34Z
601,1013.71,25.24,46.28,2022-08-14T21:26:39Z
600,1013.69,25.24,46.34,2022-08-14T21:26:44Z
600,1013.72,25.3,46.3,2022-08-14T21:26:49Z
600,1013.71,25.35,46.38,2022-08-14T21:26:54Z
600,1013.7,25.3,46.24,2022-08-14T21:26:59Z
601,1013.66,25.19,46.46,2022-08-14T21:27:04Z
600,1013.69,25.21,46.5,2022-08-14T21:27:09Z
600,1013.71,25.17,46.52,2022-08-14T21:27:14Z
599,1013.7,25.16,46.51,2022-08-14T21:27:19Z
600,1013.71,25.08,46.64,2022-08-14T21:27:24Z
600,1013.68,25.03,46.73,2022-08-14T21:27:29Z
601,1013.7,25.04,46.73,2022-08-14T21:27:35Z
600,1013.72,25.1,46.75,2022-08-14T21:27:40Z
601,1013.68,25.14,46.65,2022-08-14T21:27:45Z
601,1013.67,25.18,46.52,2022-08-14T21:27:50Z
602,1013.71,25.22,46.42,2022-08-14T21:27:55Z
604,1013.71,25.25,46.41,2022-08-14T21:28:00Z
604,1013.69,25.25,46.41,2022-08-14T21:28:05Z
604,1013.67,25.29,46.38,2022-08-14T21:28:10Z
605,1013.72,25.32,46.34,2022-08-14T21:28:15Z
605,1013.72,25.29,46.22,2022-08-14T21:28:20Z
607,1013.68,25.28,46.3,2022-08-14T21:28:25Z
609,1013.71,25.27,46.31,2022-08-14T21:28:30Z
610,1013.68,25.22,46.4,2022-08-14T21:28:35Z
612,1013.72,25.18,46.45,2022-08-14T21:28:40Z
612,1013.68,25.2,46.54,2022-08-14T21:28:45Z
612,1013.71,25.23,46.54,2022-08-14T21:28:50Z
612,1013.73,25.26,46.46,2022-08-14T21:28:55Z
612,1013.7,25.23,46.43,2022-08-14T21:29:00Z
612,1013.71,25.26,46.33,2022-08-14T21:29:05Z
612,1013.72,25.27,46.29,2022-08-14T21:29:10Z
613,1013.72,25.32,46.24,2022-08-14T21:29:15Z
613,1013.73,25.29,46.27,2022-08-14T21:29:20Z
613,1013.73,25.25,46.32,2022-08-14T21:29:25Z
613,1013.74,25.27,46.33,2022-08-14T21:29:30Z
614,1013.72,25.28,46.36,2022-08-14T21:29:35Z
613,1013.74,25.27,46.35,2022-08-14T21:29:40Z
