CO2,pressure,temperature,humidity,date_time
729,1014.48,26.75,46.9,2022-08-15T16:26:57Z
729,1014.46,26.74,46.52,2022-08-15T16:27:03Z
730,1014.47,26.71,46.25,2022-08-15T16:27:08Z
731,1014.44,26.71,46.63,2022-08-15T16:27:13Z
731,1014.47,26.67,46.52,2022-08-15T16:27:18Z
730,1014.45,26.63,46.32,2022-08-15T16:27:23Z
730,1014.46,26.63,46.4,2022-08-15T16:27:28Z
731,1014.47,26.62,46.58,2022-08-15T16:27:33Z
731,1014.43,26.6,46.48,2022-08-15T16:27:38Z
731,1014.48,26.58,46.26,2022-08-15T16:27:43Z
731,1014.47,26.56,46.29,2022-08-15T16:27:48Z
731,1014.46,26.54,46.27,2022-08-15T16:27:53Z
731,1014.46,26.52,46.29,2022-08-15T16:27:58Z
732,1014.45,26.49,46.24,2022-08-15T16:28:03Z
732,1014.48,26.42,46.52,2022-08-15T16:28:08Z
733,1014.49,26.43,46.75,2022-08-15T16:28:13Z
735,1014.46,26.43,46.5,2022-08-15T16:28:18Z
734,1014.48,26.43,46.76,2022-08-15T16:28:23Z
734,1014.47,26.44,46.63,2022-08-15T16:28:28Z
733,1014.48,26.44,46.75,2022-08-15T16:28:33Z
733,1014.48,26.45,46.54,2022-08-15T16:28:38Z
733,1014.45,26.46,46.4,2022-08-15T16:28:43Z
734,1014.46,26.45,46.42,2022-08-15T16:28:48Z
733,1014.46,26.45,46.4,2022-08-15T16:28:54Z
732,1014.46,26.46,46.63,2022-08-15T16:28:59Z
734,1014.47,26.47,46.86,2022-08-15T16:29:04Z
734,1014.46,26.48,46.52,2022-08-15T16:29:09Z
735,1014.45,26.52,46.56,2022-08-15T16:29:14Z
735,1014.47,26.55,46.38,2022-08-15T16:29:19Z
736,1014.45,26.56,46.43,2022-08-15T16:29:24Z
737,1014.43,26.61,46.39,2022-08-15T16:29:29Z
739,1014.45,26.63,46.48,2022-08-15T16:29:34Z
740,1014.46,26.66,46.22,2022-08-15T16:29:39Z
740,1014.44,26.69,46.25,2022-08-15T16:29:44Z
740,1014.45,26.73,46.16,2022-08-15T16:29:49Z
740,1014.45,26.76,45.83,2022-08-15T16:29:54Z
740,1014.47,26.77,45.98,2022-08-15T16:29:59Z
740,1014.46,26.79,45.94,2022-08-15T16:30:04Z
741,1014.44,26.82,46.09,2022-08-15T16:30:09Z
741,1014.44,26.76,45.88,2022-08-15T16:30:14Z
740,1014.47,26.74,46.06,2022-08-15T16:30:19Z
739,1014.47,26.66,46.41,2022-08-15T16:30:24Z
739,1014.47,26.63,45.91,2022-08-15T16:30:29Z
739,1014.46,26.58,46.32,2022-08-15T16:30:34Z
740,1014.45,26.6,46.21,2022-08-15T16:30:39Z
739,1014.46,26.63,46.09,2022-08-15T16:30:44Z
740,1014.44,26.67,46.12,2022-08-15T16:30:49Z
740,1014.47,26.69,45.99,2022-08-15T16:30:54Z
740,1014.46,26.73,46.1,2022-08-15T16:30:59Z
740,1014.44,26.75,45.95,2022-08-15T16:31:04Z
741,1014.44,26.82,45.47,2022-08-15T16:31:15Z
742,1014.44,26.84,45.46,2022-08-15T16:31:20Z
742,1014.46,26.88,45.46,2022-08-15T16:31:25Z
740,1014.45,26.91,45.5,2022-08-15T16:31:30Z
741,1014.47,26.93,45.3,2022-08-15T16:31:35Z
741,1014.49,26.94,45.45,2022-08-15T16:31:40Z
740,1014.49,26.95,45.46,2022-08-15T16:31:45Z
740,1014.49,26.98,45.52,2022-08-15T16:31:50Z
740,1014.47,27,45.52,2022-08-15T16:31:55Z
740,1014.43,27.02,45.4,2022-08-15T16:32:00Z
739,1014.47,27.04,45.28,2022-08-15T16:32:05Z
