CO2,pressure,temperature,humidity,date_time
651,1016.97,23.39,55.88,2022-08-16T13:52:27Z
644,1017,23.45,55.4,2022-08-16T13:52:32Z
638,1016.99,23.51,54.98,2022-08-16T13:52:37Z
636,1016.98,23.55,54.95,2022-08-16T13:52:42Z
630,1017,23.57,54.52,2022-08-16T13:52:47Z
624,1016.97,23.63,54.27,2022-08-16T13:52:52Z
623,1016.98,23.67,53.9,2022-08-16T13:52:57Z
621,1016.98,23.71,53.92,2022-08-16T13:53:02Z
620,1016.96,23.71,53.7,2022-08-16T13:53:07Z
617,1016.97,23.76,53.74,2022-08-16T13:53:12Z
616,1016.97,23.75,53.35,2022-08-16T13:53:17Z
615,1016.97,23.72,53.12,2022-08-16T13:53:22Z
612,1016.96,23.73,53.28,2022-08-16T13:53:27Z
610,1016.97,23.78,53.52,2022-08-16T13:53:32Z
610,1016.99,23.81,53.12,2022-08-16T13:53:37Z
608,1016.97,23.81,53.08,2022-08-16T13:53:42Z
607,1016.97,23.83,52.91,2022-08-16T13:53:47Z
606,1016.95,23.84,52.92,2022-08-16T13:53:52Z
604,1016.95,23.85,52.82,2022-08-16T13:53:57Z
604,1016.99,23.87,52.89,2022-08-16T13:54:02Z
604,1016.98,23.89,52.99,2022-08-16T13:54:07Z
603,1016.98,23.94,53.54,2022-08-16T13:54:12Z
603,1016.98,23.98,52.92,2022-08-16T13:54:17Z
603,1017.03,24.03,52.7,2022-08-16T13:54:22Z
603,1016.99,24.03,52.72,2022-08-16T13:54:27Z
599,1016.99,23.99,52.71,2022-08-16T13:54:33Z
599,1016.97,23.98,52.87,2022-08-16T13:54:38Z
599,1017.02,23.97,53.08,2022-08-16T13:54:43Z
598,1017.01,23.99,53.03,2022-08-16T13:54:48Z
598,1017,23.99,53.22,2022-08-16T13:54:53Z
597,1016.98,24,53.28,2022-08-16T13:54:58Z
597,1017,24,53.27,2022-08-16T13:55:03Z
596,1017.01,24.04,53.24,2022-08-16T13:55:08Z
595,1017.02,24.03,53.21,2022-08-16T13:55:13Z
595,1016.98,24.02,53.4,2022-08-16T13:55:18Z
594,1016.98,24.02,53.48,2022-08-16T13:55:23Z
594,1016.98,24.07,53.42,2022-08-16T13:55:28Z
593,1017,24.11,53.34,2022-08-16T13:55:33Z
593,1016.95,24.12,53.37,2022-08-16T13:55:38Z
593,1016.95,24.16,53.36,2022-08-16T13:55:43Z
592,1016.95,24.21,53.53,2022-08-16T13:55:48Z
593,1016.96,24.22,53.38,2022-08-16T13:55:53Z
591,1016.97,24.22,53.03,2022-08-16T13:55:58Z
591,1016.96,24.18,52.91,2022-08-16T13:56:03Z
591,1016.96,24.17,53.34,2022-08-16T13:56:08Z
591,1016.98,24.12,53.26,2022-08-16T13:56:13Z
593,1016.98,24.18,53.22,2022-08-16T13:56:18Z
595,1016.99,24.13,52.85,2022-08-16T13:56:23Z
596,1016.99,24.1,53.2,2022-08-16T13:56:28Z
598,1016.96,24.12,53.19,2022-08-16T13:56:33Z
600,1016.95,24.16,53.07,2022-08-16T13:56:38Z
604,1017,24.15,52.73,2022-08-16T13:56:43Z
605,1017.01,24.12,52.87,2022-08-16T13:56:48Z
607,1016.99,24.07,52.83,2022-08-16T13:56:53Z
609,1016.97,24.07,52.79,2022-08-16T13:56:59Z
608,1016.98,24.03,52.99,2022-08-16T13:57:04Z
609,1016.96,23.98,53.09,2022-08-16T13:57:09Z
611,1016.99,23.97,52.97,2022-08-16T13:57:19Z
612,1016.97,23.9,53.07,2022-08-16T13:57:24Z
612,1016.96,23.89,53.16,2022-08-16T13:57:29Z
611,1016.97,23.85,53.18,2022-08-16T13:57:34Z
611,1017,23.87,53.33,2022-08-16T13:57:39Z
610,1016.97,23.83,53.44,2022-08-16T13:57:44Z
610,1016.96,23.77,53.71,2022-08-16T13:57:49Z
608,1016.98,23.73,53.8,2022-08-16T13:57:54Z
608,1016.95,23.75,54.01,2022-08-16T13:57:59Z
608,1017.01,23.79,53.89,2022-08-16T13:58:04Z
607,1016.97,23.81,53.97,2022-08-16T13:58:09Z
607,1017.01,23.8,54.09,2022-08-16T13:58:14Z
606,1016.98,23.78,54.25,2022-08-16T13:58:19Z
606,1016.93,23.75,54.37,2022-08-16T13:58:24Z
606,1016.96,23.77,54.41,2022-08-16T13:58:29Z
606,1016.98,23.71,54.51,2022-08-16T13:58:34Z
606,1016.97,23.68,54.53,2022-08-16T13:58:39Z
604,1016.96,23.69,54.54,2022-08-16T13:58:44Z
605,1016.97,23.69,54.57,2022-08-16T13:58:49Z
605,1016.94,23.61,54.52,2022-08-16T13:58:54Z
605,1016.94,23.66,54.5,2022-08-16T13:58:59Z
605,1016.94,23.7,54.44,2022-08-16T13:59:04Z
604,1016.93,23.68,54.49,2022-08-16T13:59:09Z
604,1016.92,23.7,54.42,2022-08-16T13:59:14Z
605,1016.93,23.74,54.3,2022-08-16T13:59:19Z
606,1016.95,23.74,54.35,2022-08-16T13:59:25Z
606,1016.96,23.77,54.24,2022-08-16T13:59:30Z
606,1016.92,23.73,54.22,2022-08-16T13:59:35Z
607,1016.92,23.75,54.33,2022-08-16T13:59:40Z
607,1016.91,23.77,54.23,2022-08-16T13:59:45Z
609,1016.93,23.76,54.27,2022-08-16T13:59:50Z
609,1016.95,23.81,54.18,2022-08-16T13:59:55Z
611,1016.93,23.82,54.15,2022-08-16T14:00:00Z
613,1016.98,23.81,54.22,2022-08-16T14:00:05Z
613,1016.94,23.86,54.32,2022-08-16T14:00:10Z
613,1016.97,23.91,54.19,2022-08-16T14:00:15Z
615,1016.98,23.95,54.11,2022-08-16T14:00:20Z
615,1016.96,24.01,54.16,2022-08-16T14:00:25Z
616,1016.95,24.01,54.14,2022-08-16T14:00:30Z
617,1016.95,23.98,54.21,2022-08-16T14:00:35Z
617,1016.96,23.98,54.24,2022-08-16T14:00:40Z
618,1016.97,24.03,54.25,2022-08-16T14:00:45Z
619,1016.99,24.09,54.16,2022-08-16T14:00:50Z
621,1016.97,24.14,54.2,2022-08-16T14:00:55Z
623,1016.98,24.21,54.02,2022-08-16T14:01:00Z
626,1016.94,24.25,53.93,2022-08-16T14:01:05Z
630,1016.93,24.31,53.92,2022-08-16T14:01:10Z
631,1016.91,24.33,53.83,2022-08-16T14:01:20Z
631,1016.95,24.41,53.83,2022-08-16T14:01:25Z
632,1016.92,24.45,53.72,2022-08-16T14:01:30Z
633,1016.93,24.49,53.71,2022-08-16T14:01:35Z
633,1016.93,24.51,53.63,2022-08-16T14:01:40Z
633,1016.93,24.55,53.55,2022-08-16T14:01:45Z
634,1016.94,24.61,53.57,2022-08-16T14:01:50Z
634,1016.94,24.64,53.46,2022-08-16T14:01:56Z
635,1016.92,24.63,53.34,2022-08-16T14:02:01Z
635,1016.94,24.61,53.28,2022-08-16T14:02:06Z
635,1016.91,24.64,53.2,2022-08-16T14:02:11Z
635,1016.91,24.69,53.01,2022-08-16T14:02:16Z
636,1016.91,24.74,52.94,2022-08-16T14:02:21Z
636,1016.93,24.74,52.81,2022-08-16T14:02:26Z
635,1016.92,24.74,52.66,2022-08-16T14:02:31Z
635,1016.95,24.72,52.69,2022-08-16T14:02:36Z
636,1016.9,24.68,52.69,2022-08-16T14:02:41Z
636,1016.92,24.7,52.74,2022-08-16T14:02:46Z
637,1016.9,24.66,52.8,2022-08-16T14:02:51Z
638,1016.91,24.69,52.88,2022-08-16T14:02:56Z
638,1016.92,24.68,52.72,2022-08-16T14:03:01Z
640,1016.91,24.64,52.57,2022-08-16T14:03:06Z
642,1016.95,24.61,52.62,2022-08-16T14:03:11Z
642,1016.95,24.57,52.64,2022-08-16T14:03:16Z
643,1016.95,24.54,52.84,2022-08-16T14:03:21Z
644,1016.92,24.54,52.85,2022-08-16T14:03:26Z
