CO2,pressure,temperature,humidity,date_time
682,1014.68,24.45,56.71,2022-08-17T18:39:23Z
686,1014.66,24.49,56.25,2022-08-17T18:39:28Z
687,1014.67,24.55,55.85,2022-08-17T18:39:33Z
687,1014.7,24.61,55.72,2022-08-17T18:39:38Z
689,1014.69,24.62,55.41,2022-08-17T18:39:43Z
691,1014.69,24.68,55.53,2022-08-17T18:39:48Z
692,1014.67,24.76,55.43,2022-08-17T18:39:53Z
692,1014.65,24.76,55.05,2022-08-17T18:39:58Z
693,1014.66,24.83,55.27,2022-08-17T18:40:03Z
694,1014.67,24.89,55.13,2022-08-17T18:40:09Z
694,1014.68,24.9,54.58,2022-08-17T18:40:14Z
694,1014.66,24.97,54.84,2022-08-17T18:40:19Z
695,1014.68,25.04,54.47,2022-08-17T18:40:24Z
696,1014.7,25.03,54.21,2022-08-17T18:40:29Z
696,1014.7,25.05,54.16,2022-08-17T18:40:34Z
697,1014.66,25.01,54.28,2022-08-17T18:40:39Z
698,1014.65,25.1,54.65,2022-08-17T18:40:44Z
699,1014.65,25.17,54.5,2022-08-17T18:40:49Z
699,1014.64,25.26,54.51,2022-08-17T18:40:54Z
700,1014.62,25.37,54.37,2022-08-17T18:40:59Z
700,1014.6,25.46,54.89,2022-08-17T18:41:04Z
700,1014.62,25.53,54.34,2022-08-17T18:41:09Z
701,1014.61,25.63,54.22,2022-08-17T18:41:14Z
701,1014.6,25.72,53.5,2022-08-17T18:41:19Z
702,1014.61,25.81,53.28,2022-08-17T18:41:24Z
701,1014.61,25.89,53.56,2022-08-17T18:41:29Z
702,1014.6,25.96,52.88,2022-08-17T18:41:34Z
702,1014.62,26.04,52.42,2022-08-17T18:41:39Z
702,1014.6,26.12,52.72,2022-08-17T18:41:44Z
702,1014.62,26.18,52.01,2022-08-17T18:41:49Z
703,1014.6,26.19,51.72,2022-08-17T18:41:54Z
702,1014.58,26.23,52.09,2022-08-17T18:41:59Z
702,1014.62,26.23,51.63,2022-08-17T18:42:04Z
703,1014.58,26.23,51.51,2022-08-17T18:42:09Z
703,1014.58,26.19,51.26,2022-08-17T18:42:14Z
706,1014.56,26.27,51.9,2022-08-17T18:42:19Z
710,1014.54,26.33,52.54,2022-08-17T18:42:24Z
732,1014.52,26.42,52.01,2022-08-17T18:42:30Z
741,1014.56,26.44,51.23,2022-08-17T18:42:35Z
748,1014.54,26.46,51.31,2022-08-17T18:42:40Z
751,1014.56,26.5,51.36,2022-08-17T18:42:45Z
759,1014.54,26.54,51.03,2022-08-17T18:42:55Z
758,1014.51,26.6,51.57,2022-08-17T18:43:00Z
757,1014.54,26.66,51.19,2022-08-17T18:43:05Z
756,1014.58,26.71,50.61,2022-08-17T18:43:10Z
756,1014.58,26.75,50.46,2022-08-17T18:43:15Z
755,1014.59,26.82,50.53,2022-08-17T18:43:20Z
754,1014.58,26.9,50.84,2022-08-17T18:43:25Z
753,1014.55,26.92,50.31,2022-08-17T18:43:30Z
753,1014.55,26.92,49.87,2022-08-17T18:43:35Z
752,1014.54,26.96,50.22,2022-08-17T18:43:40Z
752,1014.56,26.94,50.07,2022-08-17T18:43:45Z
751,1014.53,26.99,50,2022-08-17T18:43:50Z
749,1014.54,27.03,49.91,2022-08-17T18:43:55Z
749,1014.55,27.07,50.06,2022-08-17T18:44:00Z
747,1014.5,27.11,49.98,2022-08-17T18:44:05Z
744,1014.53,27.17,49.95,2022-08-17T18:44:10Z
742,1014.52,27.25,50.06,2022-08-17T18:44:15Z
741,1014.51,27.28,49.46,2022-08-17T18:44:20Z
740,1014.51,27.33,50.08,2022-08-17T18:44:25Z
740,1014.51,27.38,49.42,2022-08-17T18:44:30Z
740,1014.53,27.41,49.37,2022-08-17T18:44:35Z
739,1014.5,27.41,49.13,2022-08-17T18:44:40Z
739,1014.51,27.45,50.16,2022-08-17T18:44:45Z
734,1014.49,27.51,49.55,2022-08-17T18:44:51Z
731,1014.5,27.52,49.29,2022-08-17T18:44:56Z
730,1014.52,27.58,49.1,2022-08-17T18:45:01Z
730,1014.49,27.59,48.67,2022-08-17T18:45:06Z
730,1014.49,27.63,49.09,2022-08-17T18:45:11Z
730,1014.46,27.69,48.62,2022-08-17T18:45:16Z
730,1014.46,27.68,48.48,2022-08-17T18:45:21Z
729,1014.45,27.72,48.57,2022-08-17T18:45:26Z
729,1014.5,27.76,48.55,2022-08-17T18:45:31Z
730,1014.49,27.76,48.58,2022-08-17T18:45:36Z
729,1014.47,27.74,48.5,2022-08-17T18:45:41Z
730,1014.48,27.79,48.55,2022-08-17T18:45:46Z
729,1014.42,27.8,48.37,2022-08-17T18:45:51Z
729,1014.4,27.8,48.45,2022-08-17T18:45:56Z
730,1014.43,27.84,48.48,2022-08-17T18:46:01Z
730,1014.42,27.86,48.12,2022-08-17T18:46:06Z
730,1014.42,27.86,48.04,2022-08-17T18:46:11Z
732,1014.44,27.83,47.92,2022-08-17T18:46:16Z
732,1014.43,27.85,48.28,2022-08-17T18:46:21Z
732,1014.43,27.9,48.17,2022-08-17T18:46:26Z
731,1014.45,27.96,48.29,2022-08-17T18:46:31Z
730,1014.45,28.02,48.32,2022-08-17T18:46:36Z
