CO2,pressure,temperature,humidity,date_time
683,1013.93,25.18,52.81,2022-08-17T19:31:25Z
682,1013.92,25.17,52.74,2022-08-17T19:31:30Z
681,1013.95,25.17,52.7,2022-08-17T19:31:35Z
681,1013.93,25.17,52.89,2022-08-17T19:31:40Z
680,1013.91,25.19,52.85,2022-08-17T19:31:45Z
674,1013.92,25.17,52.75,2022-08-17T19:31:50Z
674,1013.93,25.2,52.77,2022-08-17T19:31:55Z
672,1013.93,25.18,52.62,2022-08-17T19:32:00Z
672,1013.96,25.2,52.7,2022-08-17T19:32:05Z
669,1013.95,25.21,52.52,2022-08-17T19:32:10Z
669,1013.95,25.2,52.49,2022-08-17T19:32:15Z
667,1013.93,25.22,52.57,2022-08-17T19:32:21Z
667,1013.94,25.25,52.72,2022-08-17T19:32:26Z
667,1013.94,25.27,52.54,2022-08-17T19:32:31Z
667,1013.94,25.3,52.51,2022-08-17T19:32:36Z
666,1013.98,25.35,52.35,2022-08-17T19:32:41Z
666,1013.94,25.35,52.2,2022-08-17T19:32:46Z
666,1013.91,25.39,52.24,2022-08-17T19:32:51Z
662,1013.92,25.42,52.25,2022-08-17T19:32:56Z
661,1013.92,25.47,52.19,2022-08-17T19:33:01Z
660,1013.91,25.48,51.95,2022-08-17T19:33:06Z
660,1013.91,25.5,51.86,2022-08-17T19:33:11Z
660,1013.9,25.51,51.81,2022-08-17T19:33:16Z
659,1013.87,25.53,51.74,2022-08-17T19:33:21Z
659,1013.87,25.54,51.72,2022-08-17T19:33:26Z
657,1013.87,25.57,51.66,2022-08-17T19:33:31Z
657,1013.84,25.59,51.61,2022-08-17T19:33:36Z
657,1013.86,25.6,51.54,2022-08-17T19:33:41Z
656,1013.86,25.61,51.51,2022-08-17T19:33:46Z
656,1013.84,25.63,51.48,2022-08-17T19:33:51Z
656,1013.85,25.66,51.5,2022-08-17T19:33:56Z
657,1013.87,25.67,51.41,2022-08-17T19:34:01Z
656,1013.88,25.71,51.37,2022-08-17T19:34:06Z
656,1013.84,25.73,51.41,2022-08-17T19:34:11Z
657,1013.83,25.76,51.29,2022-08-17T19:34:16Z
657,1013.82,25.79,51.32,2022-08-17T19:34:21Z
656,1013.84,25.82,51.33,2022-08-17T19:34:26Z
657,1013.84,25.86,51.07,2022-08-17T19:34:31Z
656,1013.86,25.88,50.98,2022-08-17T19:34:36Z
656,1013.82,25.89,50.91,2022-08-17T19:34:41Z
656,1013.82,25.91,51.09,2022-08-17T19:34:46Z
656,1013.86,25.93,51.15,2022-08-17T19:34:51Z
655,1013.82,25.95,51.09,2022-08-17T19:34:57Z
655,1013.82,25.98,50.87,2022-08-17T19:35:02Z
655,1013.85,26.02,50.76,2022-08-17T19:35:07Z
656,1013.82,26.06,50.68,2022-08-17T19:35:12Z
656,1013.81,26.11,50.65,2022-08-17T19:35:17Z
657,1013.82,26.13,50.47,2022-08-17T19:35:22Z
657,1013.84,26.16,50.44,2022-08-17T19:35:27Z
657,1013.83,26.17,50.38,2022-08-17T19:35:32Z
657,1013.81,26.19,50.26,2022-08-17T19:35:37Z
657,1013.8,26.22,50.26,2022-08-17T19:35:42Z
657,1013.81,26.24,50.21,2022-08-17T19:35:47Z
657,1013.81,26.22,50.08,2022-08-17T19:35:52Z
658,1013.78,26.23,50.17,2022-08-17T19:35:57Z
658,1013.78,26.28,50.52,2022-08-17T19:36:02Z
659,1013.81,26.25,50.29,2022-08-17T19:36:07Z
658,1013.8,26.22,50.1,2022-08-17T19:36:12Z
658,1013.78,26.23,50.06,2022-08-17T19:36:17Z
657,1013.79,26.18,50.1,2022-08-17T19:36:22Z
657,1013.81,26.2,50.14,2022-08-17T19:36:27Z
657,1013.82,26.24,50.18,2022-08-17T19:36:32Z
657,1013.85,26.28,50.24,2022-08-17T19:36:37Z
657,1013.82,26.27,50,2022-08-17T19:36:42Z
657,1013.83,26.3,50.03,2022-08-17T19:36:47Z
656,1013.82,26.31,50,2022-08-17T19:36:52Z
656,1013.81,26.32,49.97,2022-08-17T19:36:57Z
655,1013.84,26.36,50.07,2022-08-17T19:37:02Z
655,1013.81,26.35,49.93,2022-08-17T19:37:08Z
654,1013.82,26.38,50.06,2022-08-17T19:37:13Z
