CO2,pressure,temperature,humidity,date_time
1593,988.33,25.71,42.54,2022-12-24T02:51:58Z
1593,988.36,25.72,42.52,2022-12-24T02:52:03Z
1592,988.38,25.72,42.53,2022-12-24T02:52:08Z
1593,988.35,25.71,42.56,2022-12-24T02:52:13Z
1592,988.41,25.71,42.6,2022-12-24T02:52:18Z
1593,988.4,25.7,42.95,2022-12-24T02:52:23Z
1593,988.39,25.71,42.75,2022-12-24T02:52:28Z
1593,988.36,25.7,42.61,2022-12-24T02:52:33Z
1593,988.38,25.69,42.54,2022-12-24T02:52:38Z
1594,988.4,25.68,42.61,2022-12-24T02:52:43Z
1594,988.39,25.67,42.51,2022-12-24T02:52:48Z
1595,988.43,25.67,42.49,2022-12-24T02:52:53Z
1596,988.4,25.66,42.49,2022-12-24T02:52:58Z
1596,988.4,25.66,42.56,2022-12-24T02:53:03Z
1597,988.41,25.67,42.49,2022-12-24T02:53:08Z
1597,988.42,25.68,42.54,2022-12-24T02:53:13Z
1597,988.46,25.68,42.53,2022-12-24T02:53:18Z
1597,988.39,25.69,42.46,2022-12-24T02:53:23Z
1596,988.39,25.7,42.37,2022-12-24T02:53:28Z
1597,988.44,25.71,42.32,2022-12-24T02:53:33Z
1598,988.44,25.72,42.37,2022-12-24T02:53:39Z
1596,988.44,25.72,42.43,2022-12-24T02:53:44Z
1596,988.46,25.72,42.41,2022-12-24T02:53:49Z
1596,988.48,25.72,42.39,2022-12-24T02:53:54Z
1596,988.47,25.72,42.36,2022-12-24T02:53:59Z
1596,988.49,25.72,42.36,2022-12-24T02:54:04Z
1596,988.52,25.73,42.36,2022-12-24T02:54:09Z
1596,988.46,25.73,42.33,2022-12-24T02:54:14Z
1596,988.48,25.74,42.35,2022-12-24T02:54:19Z
1596,988.4,25.74,42.44,2022-12-24T02:54:24Z
1596,988.49,25.75,42.41,2022-12-24T02:54:29Z
1596,988.51,25.75,42.36,2022-12-24T02:54:34Z
1596,988.46,25.75,42.29,2022-12-24T02:54:39Z
1596,988.45,25.76,42.32,2022-12-24T02:54:44Z
1597,988.46,25.76,42.28,2022-12-24T02:54:49Z
1598,988.49,25.76,42.29,2022-12-24T02:54:54Z
1596,988.49,25.77,42.26,2022-12-24T02:54:59Z
1596,988.47,25.77,42.26,2022-12-24T02:55:04Z
1593,988.46,25.77,42.27,2022-12-24T02:55:09Z
1593,988.5,25.75,42.3,2022-12-24T02:55:14Z
1594,988.49,25.75,42.39,2022-12-24T02:55:19Z
1594,988.49,25.74,42.43,2022-12-24T02:55:24Z
1594,988.51,25.74,42.41,2022-12-24T02:55:30Z
1593,988.52,25.74,42.41,2022-12-24T02:55:35Z
1593,988.54,25.73,42.39,2022-12-24T02:55:40Z
1593,988.53,25.72,42.37,2022-12-24T02:55:45Z
1593,988.5,25.73,42.35,2022-12-24T02:55:50Z
1593,988.55,25.74,42.35,2022-12-24T02:55:55Z
1595,988.55,25.74,42.34,2022-12-24T02:56:00Z
1596,988.56,25.73,42.3,2022-12-24T02:56:05Z
1596,988.52,25.73,42.31,2022-12-24T02:56:10Z
1595,988.53,25.73,42.3,2022-12-24T02:56:15Z
1594,988.53,25.72,42.35,2022-12-24T02:56:20Z
1594,988.52,25.71,42.39,2022-12-24T02:56:25Z
1594,988.56,25.7,42.39,2022-12-24T02:56:30Z
1594,988.54,25.7,42.41,2022-12-24T02:56:35Z
1594,988.58,25.7,42.4,2022-12-24T02:56:40Z
1594,988.54,25.7,42.3,2022-12-24T02:56:45Z
1594,988.54,25.7,42.28,2022-12-24T02:56:50Z
1595,988.53,25.7,42.25,2022-12-24T02:56:55Z
1594,988.52,25.7,42.21,2022-12-24T02:57:00Z
1593,988.58,25.7,42.22,2022-12-24T02:57:05Z
1593,988.63,25.7,42.24,2022-12-24T02:57:10Z
1594,988.64,25.7,42.26,2022-12-24T02:57:16Z
1594,988.62,25.7,42.22,2022-12-24T02:57:21Z
1595,988.58,25.7,42.24,2022-12-24T02:57:26Z
1594,988.65,25.69,42.26,2022-12-24T02:57:31Z
1596,988.54,25.72,42.19,2022-12-24T02:57:41Z
1596,988.59,25.73,42.1,2022-12-24T02:57:46Z
1596,988.61,25.72,42.11,2022-12-24T02:57:51Z
1597,988.56,25.72,42.23,2022-12-24T02:57:56Z
1597,988.54,25.71,42.23,2022-12-24T02:58:01Z
1597,988.51,25.72,42.2,2022-12-24T02:58:06Z
1598,988.57,25.71,42.24,2022-12-24T02:58:11Z
1599,988.58,25.71,42.19,2022-12-24T02:58:16Z
1600,988.64,25.71,42.17,2022-12-24T02:58:21Z
1601,988.66,25.71,42.22,2022-12-24T02:58:26Z
1602,988.62,25.72,42.12,2022-12-24T02:58:31Z
1602,988.63,25.72,42.08,2022-12-24T02:58:36Z
1604,988.64,25.71,42.28,2022-12-24T02:58:41Z
1605,988.63,25.71,42.35,2022-12-24T02:58:46Z
1607,988.6,25.7,42.2,2022-12-24T02:58:51Z
1610,988.6,25.7,42.26,2022-12-24T02:58:57Z
1612,988.59,25.71,42.26,2022-12-24T02:59:02Z
1615,988.67,25.71,42.23,2022-12-24T02:59:07Z
1615,988.67,25.72,42.24,2022-12-24T02:59:12Z
1616,988.73,25.72,42.21,2022-12-24T02:59:17Z
1617,988.66,25.72,42.15,2022-12-24T02:59:22Z
1618,988.52,25.71,42.19,2022-12-24T02:59:27Z
